Direction,FoodDirection,DangerLeft,DangerUp,DangerRight,DangerDown,DistanceToFood,Alive,Increase,DecisionMethod
down,none,False,False,False,False,25.0,True,False,self
right,none,False,False,False,False,24.0,True,False,self
right,none,False,False,False,False,23.0,True,False,self
right,none,False,False,False,False,22.0,True,False,self
right,none,False,False,False,False,21.0,True,False,self
right,none,False,False,False,False,20.0,True,False,self
right,none,False,False,False,False,19.0,True,False,self
right,none,False,False,False,False,18.0,True,False,self
right,none,False,False,False,False,17.0,True,False,self
right,none,False,False,False,False,16.0,True,False,self
right,none,False,False,False,False,15.0,True,False,self
right,none,False,False,False,False,14.0,True,False,self
right,none,False,False,False,False,15.0,True,False,self
right,none,False,False,False,False,16.0,True,False,self
up,none,False,False,False,False,15.0,True,False,self
up,none,False,False,False,False,14.0,True,False,self
up,none,False,False,False,False,13.0,True,False,self
up,none,False,False,False,False,12.0,True,False,self
up,none,False,False,False,False,11.0,True,False,self
up,none,False,False,False,False,10.0,True,False,self
up,none,False,False,False,False,9.0,True,False,self
up,none,False,False,False,False,8.0,True,False,self
left,none,False,False,False,False,7.0,True,False,self
up,none,False,False,False,False,6.0,True,False,self
up,none,False,False,False,False,5.0,True,False,self
up,none,False,False,False,False,4.0,True,False,self
up,none,False,False,False,False,3.0,True,False,self
up,none,False,False,False,False,2.0,True,False,self
left,up,False,False,False,False,1.0,True,False,self
up,none,False,False,False,False,0.0,True,True,self
up,none,False,False,False,False,11.0,True,False,self
up,none,False,False,False,False,10.0,True,False,self
up,none,False,False,False,False,9.0,True,False,self
up,none,False,False,False,False,10.0,True,False,self
up,none,False,False,False,False,11.0,True,False,self
left,none,False,False,False,False,10.0,True,False,self
left,none,False,False,False,False,9.0,True,False,self
left,none,False,False,False,False,8.0,True,False,self
left,none,False,False,False,False,7.0,True,False,self
left,none,False,False,False,False,6.0,True,False,self
left,none,False,False,False,False,5.0,True,False,self
down,none,False,False,False,False,4.0,True,False,self
left,none,False,False,False,False,3.0,True,False,self
left,none,False,False,False,False,2.0,True,False,self
left,down,False,False,False,False,1.0,True,False,self
left,none,False,False,False,False,2.0,True,False,self
left,none,False,False,False,False,3.0,True,False,self
left,none,False,False,False,False,4.0,True,False,self
left,none,False,False,False,False,5.0,True,False,self
left,none,False,False,False,False,6.0,True,False,self
left,none,False,False,False,False,7.0,True,False,self
left,none,False,False,False,False,8.0,True,False,self
down,none,False,False,False,False,7.0,True,False,self
right,none,False,True,False,False,6.0,True,False,self
right,none,False,True,False,False,5.0,True,False,self
right,none,False,True,False,False,4.0,True,False,self
right,none,False,False,False,False,3.0,True,False,self
right,none,False,False,False,False,2.0,True,False,self
right,right,False,False,False,False,1.0,True,False,self
right,none,False,False,False,False,0.0,True,True,self
right,none,False,False,False,False,10.0,True,False,self
right,none,False,False,False,False,9.0,True,False,self
right,none,False,False,False,False,10.0,True,False,self
right,none,False,False,False,False,11.0,True,False,self
right,none,False,False,False,False,12.0,True,False,self
down,none,False,False,False,False,11.0,True,False,self
down,none,False,False,False,False,10.0,True,False,self
down,none,False,False,False,False,9.0,True,False,self
down,none,False,False,False,False,8.0,True,False,self
down,none,False,False,False,False,7.0,True,False,self
down,none,False,False,False,False,6.0,True,False,self
down,none,False,False,False,False,5.0,True,False,self
down,none,False,False,False,False,4.0,True,False,self
down,none,False,False,False,False,3.0,True,False,self
left,none,False,False,False,False,2.0,True,False,self
left,left,False,False,False,False,1.0,True,False,self
left,none,False,False,False,False,0.0,True,True,self
left,none,False,False,False,False,14.0,True,False,self
left,none,False,False,False,False,15.0,True,False,self
left,none,False,False,False,False,16.0,True,False,self
up,none,False,False,False,False,17.0,True,False,self
up,none,False,False,False,False,18.0,True,False,self
up,none,False,False,False,False,19.0,True,False,self
up,none,False,False,False,False,20.0,True,False,self
right,none,False,False,False,False,19.0,True,False,self
right,none,False,False,False,False,18.0,True,False,self
right,none,False,False,False,False,17.0,True,False,self
right,none,False,False,False,False,16.0,True,False,self
right,none,False,False,False,False,15.0,True,False,self
right,none,False,False,False,False,14.0,True,False,self
right,none,False,False,False,False,13.0,True,False,self
down,none,False,False,False,False,12.0,True,False,self
down,none,False,False,False,False,11.0,True,False,self
down,none,False,False,False,False,10.0,True,False,self
down,none,False,False,False,False,9.0,True,False,self
down,none,False,False,False,False,8.0,True,False,self
down,none,False,False,False,False,7.0,True,False,self
down,none,False,False,False,False,6.0,True,False,self
down,none,False,False,False,False,5.0,True,False,self
down,none,False,False,False,False,4.0,True,False,self
down,none,False,False,False,False,3.0,True,False,self
right,none,False,False,False,False,2.0,True,False,self
down,down,False,False,False,False,1.0,True,False,self
down,none,False,False,False,False,0.0,True,True,self
down,none,False,False,False,False,28.0,True,False,self
down,none,False,False,False,False,29.0,True,False,self
down,none,False,False,False,False,30.0,True,False,self
down,none,False,False,False,False,31.0,True,False,self
left,none,False,False,False,False,30.0,True,False,self
left,none,False,False,False,False,29.0,True,False,self
left,none,False,False,False,False,28.0,True,False,self
left,none,False,False,False,False,27.0,True,False,self
left,none,False,False,False,False,26.0,True,False,self
left,none,False,False,False,False,25.0,True,False,self
left,none,False,False,False,False,24.0,True,False,self
left,none,False,False,False,False,23.0,True,False,self
down,none,False,False,False,False,24.0,True,False,self
down,none,False,False,False,False,23.0,True,False,self
down,none,False,False,False,False,22.0,True,False,self
down,none,False,False,False,False,21.0,True,False,self
down,none,False,False,False,False,20.0,True,False,self
down,none,False,False,False,False,19.0,True,False,self
down,none,False,False,False,False,18.0,True,False,self
left,none,False,False,False,False,17.0,True,False,self
left,none,False,False,False,False,16.0,True,False,self
left,none,False,False,False,False,15.0,True,False,self
left,none,False,False,False,False,14.0,True,False,self
left,none,False,False,False,False,13.0,True,False,self
left,none,False,False,False,False,12.0,True,False,self
left,none,False,False,False,False,11.0,True,False,self
left,none,False,False,False,False,10.0,True,False,self
left,none,False,False,False,False,9.0,True,False,self
down,none,False,False,False,False,8.0,True,False,self
down,none,False,False,False,False,7.0,True,False,self
down,none,False,False,False,False,6.0,True,False,self
down,none,False,False,False,False,5.0,True,False,self
down,none,False,False,False,False,4.0,True,False,self
down,none,False,False,False,False,3.0,True,False,self
down,none,False,False,False,False,2.0,True,False,self
left,down,False,False,False,False,1.0,True,False,self
down,none,False,False,False,False,0.0,True,True,self
down,none,False,False,False,False,14.0,True,False,self
down,none,False,False,False,False,15.0,True,False,self
down,none,False,False,False,False,16.0,True,False,self
down,none,False,False,False,False,17.0,True,False,self
down,none,False,False,False,False,18.0,True,False,self
down,none,False,False,False,False,17.0,True,False,self
down,none,False,False,False,False,16.0,True,False,self
down,none,False,False,False,False,15.0,True,False,self
down,none,False,False,False,False,14.0,True,False,self
right,none,False,False,False,False,15.0,True,False,self
right,none,False,False,False,False,16.0,True,False,self
right,none,False,False,False,False,17.0,True,False,self
right,none,False,False,False,False,18.0,True,False,self
right,none,False,False,False,False,19.0,True,False,self
right,none,False,False,False,False,20.0,True,False,self
right,none,False,False,False,False,21.0,True,False,self
right,none,False,False,False,False,22.0,True,False,self
right,none,False,False,False,False,23.0,True,False,self
right,none,False,False,False,False,24.0,True,False,self
right,none,False,False,False,False,25.0,True,False,self
right,none,False,False,False,False,26.0,True,False,self
right,none,False,False,False,False,27.0,True,False,self
right,none,False,False,False,False,28.0,True,False,self
right,none,False,False,False,False,27.0,True,False,self
right,none,False,False,False,False,26.0,True,False,self
right,none,False,False,False,False,25.0,True,False,self
right,none,False,False,False,False,24.0,True,False,self
right,none,False,False,False,False,23.0,True,False,self
right,none,False,False,False,False,22.0,True,False,self
right,none,False,False,False,False,21.0,True,False,self
up,none,False,False,False,False,22.0,True,False,self
up,none,False,False,False,False,23.0,True,False,self
up,none,False,False,False,False,24.0,True,False,self
up,none,False,False,False,False,25.0,True,False,self
up,none,False,False,False,False,24.0,True,False,self
up,none,False,False,False,False,23.0,True,False,self
up,none,False,False,False,False,22.0,True,False,self
right,none,False,False,False,False,21.0,True,False,self
right,none,False,False,False,False,20.0,True,False,self
right,none,False,False,False,False,19.0,True,False,self
right,none,False,False,False,False,18.0,True,False,self
right,none,False,False,False,False,17.0,True,False,self
right,none,False,False,False,False,16.0,True,False,self
right,none,False,False,False,False,15.0,True,False,self
right,none,False,False,False,False,14.0,True,False,self
right,none,False,False,False,False,13.0,True,False,self
up,none,False,False,False,False,12.0,True,False,self
up,none,False,False,False,False,11.0,True,False,self
up,none,False,False,False,False,10.0,True,False,self
up,none,False,False,False,False,9.0,True,False,self
up,none,False,False,False,False,8.0,True,False,self
up,none,False,False,False,False,7.0,True,False,self
up,none,False,False,False,False,6.0,True,False,self
right,none,False,False,False,False,5.0,True,False,self
right,none,False,False,False,False,4.0,True,False,self
right,none,False,False,False,False,5.0,True,False,self
up,none,False,False,False,False,4.0,True,False,self
up,none,False,False,False,False,3.0,True,False,self
up,none,False,False,False,False,2.0,True,False,self
up,left,False,False,False,False,1.0,True,False,self
up,none,False,False,False,False,2.0,True,False,self
left,down,False,False,False,False,1.0,True,False,self
left,none,False,False,False,False,2.0,True,False,self
left,none,False,False,False,False,3.0,True,False,self
left,none,False,False,False,False,4.0,True,False,self
left,none,False,False,False,False,5.0,True,False,self
left,none,False,False,False,False,6.0,True,False,self
left,none,False,False,False,False,7.0,True,False,self
left,none,False,False,False,False,8.0,True,False,self
left,none,False,False,False,False,9.0,True,False,self
down,none,False,False,False,False,8.0,True,False,self
right,none,False,True,False,False,7.0,True,False,self
right,none,False,True,False,False,6.0,True,False,self
right,none,False,True,False,False,5.0,True,False,self
right,none,False,True,False,False,4.0,True,False,self
right,none,False,True,False,False,3.0,True,False,self
right,none,False,False,False,False,2.0,True,False,self
right,right,False,False,False,False,1.0,True,False,self
right,none,False,False,False,False,0.0,True,True,self
right,none,False,False,False,False,14.0,True,False,self
right,none,False,False,False,False,13.0,True,False,self
right,none,False,False,False,False,12.0,True,False,self
right,none,False,False,False,False,11.0,True,False,self
right,none,False,False,False,False,10.0,True,False,self
right,none,False,False,False,False,9.0,True,False,self
right,none,False,False,False,False,8.0,True,False,self
right,none,False,False,False,False,7.0,True,False,self
right,none,False,False,False,False,6.0,True,False,self
right,none,False,False,False,False,5.0,True,False,self
right,none,False,False,False,False,4.0,True,False,self
up,none,False,False,False,False,3.0,True,False,self
up,none,False,False,False,False,2.0,True,False,self
up,right,False,False,False,False,1.0,True,False,self
up,none,False,False,False,False,2.0,True,False,self
right,down,False,False,False,False,1.0,True,False,self
right,none,False,False,False,False,2.0,True,False,self
right,none,False,False,False,False,3.0,True,False,self
right,none,False,False,False,False,4.0,True,False,self
right,none,False,False,False,False,5.0,True,False,self
right,none,False,False,False,False,6.0,True,False,self
right,none,False,False,False,False,7.0,True,False,self
right,none,False,False,False,False,8.0,True,False,self
right,none,False,False,False,False,9.0,True,False,self
right,none,False,False,False,False,10.0,True,False,self
down,none,False,False,False,False,9.0,True,False,self
down,none,False,False,False,False,10.0,True,False,self
left,none,False,False,False,False,9.0,True,False,self
left,none,False,False,False,False,8.0,True,False,self
left,none,False,False,False,False,7.0,True,False,self
left,none,False,False,False,False,6.0,True,False,self
left,none,False,False,False,False,5.0,True,False,self
left,none,False,False,False,False,4.0,True,False,self
left,none,False,False,False,False,3.0,True,False,self
left,none,False,False,False,False,2.0,True,False,self
up,left,False,False,False,False,1.0,True,False,self
up,none,False,False,False,False,2.0,True,False,self
up,none,False,False,False,False,3.0,True,False,self
up,none,False,False,False,False,4.0,True,False,self
up,none,False,False,False,False,5.0,True,False,self
up,none,False,False,False,False,6.0,True,False,self
up,none,False,False,False,False,7.0,True,False,self
up,none,False,False,False,False,8.0,True,False,self
up,none,False,False,False,False,9.0,True,False,self
up,none,False,False,False,False,10.0,True,False,self
up,none,False,False,False,False,11.0,True,False,self
up,none,False,False,False,False,12.0,True,False,self
up,none,False,False,False,False,13.0,True,False,self
up,none,False,False,False,False,14.0,True,False,self
up,none,False,False,False,False,15.0,True,False,self
left,none,False,False,False,False,14.0,True,False,self
left,none,False,False,False,False,15.0,True,False,self
up,none,False,False,False,False,14.0,True,False,self
up,none,False,False,False,False,13.0,True,False,self
up,none,False,False,False,False,12.0,True,False,self
up,none,False,False,False,False,11.0,True,False,self
up,none,False,False,False,False,10.0,True,False,self
up,none,False,False,False,False,9.0,True,False,self
up,none,False,False,False,False,8.0,True,False,self
up,none,False,False,False,False,7.0,True,False,self
up,none,False,False,False,False,6.0,True,False,self
right,none,False,False,False,False,5.0,True,False,self
up,none,False,False,False,False,4.0,True,False,self
up,none,False,False,False,False,3.0,True,False,self
up,none,False,False,False,False,2.0,True,False,self
up,up,False,False,False,False,1.0,True,False,self
up,none,False,False,False,False,0.0,True,True,self
up,none,False,False,False,False,17.0,True,False,self
up,none,False,False,False,False,16.0,True,False,self
up,none,False,False,False,False,15.0,True,False,self
up,none,False,False,False,False,14.0,True,False,self
up,none,False,False,False,False,15.0,True,False,self
up,none,False,False,False,False,16.0,True,False,self
up,none,False,False,False,False,17.0,True,False,self
up,none,False,False,False,False,18.0,True,False,self
up,none,False,False,False,False,19.0,True,False,self
right,none,False,False,False,False,20.0,True,False,self
right,none,False,False,False,False,21.0,True,False,self
right,none,False,False,False,False,22.0,True,False,self
right,none,False,False,False,False,23.0,True,False,self
right,none,False,False,False,False,22.0,True,False,self
right,none,False,False,False,False,21.0,True,False,self
right,none,False,False,False,False,20.0,True,False,self
right,none,False,False,False,False,19.0,True,False,self
right,none,False,False,False,False,18.0,True,False,self
down,none,False,False,False,False,17.0,True,False,self
down,none,False,False,False,False,16.0,True,False,self
down,none,False,False,False,False,15.0,True,False,self
down,none,False,False,False,False,14.0,True,False,self
down,none,False,False,False,False,13.0,True,False,self
right,none,False,False,False,False,12.0,True,False,self
right,none,False,False,False,False,11.0,True,False,self
right,none,False,False,False,False,10.0,True,False,self
right,none,False,False,False,False,9.0,True,False,self
right,none,False,False,False,False,8.0,True,False,self
right,none,False,False,False,False,7.0,True,False,self
right,none,False,False,False,False,6.0,True,False,self
right,none,False,False,False,False,5.0,True,False,self
right,none,False,False,False,False,4.0,True,False,self
right,none,False,False,False,False,3.0,True,False,self
right,none,False,False,False,False,2.0,True,False,self
right,right,False,False,False,False,1.0,True,False,self
right,none,False,False,False,False,0.0,True,True,self
right,none,False,False,False,False,16.0,True,False,self
right,none,False,False,False,False,17.0,True,False,self
right,none,False,False,False,False,18.0,True,False,self
right,none,False,False,False,False,19.0,True,False,self
right,none,False,False,False,False,20.0,True,False,self
right,none,False,False,False,False,21.0,True,False,self
right,none,False,False,False,False,22.0,True,False,self
right,none,False,False,False,False,23.0,True,False,self
right,none,False,False,False,False,24.0,True,False,self
right,none,False,False,False,False,23.0,True,False,self
right,none,False,False,False,False,22.0,True,False,self
right,none,False,False,False,False,21.0,True,False,self
up,none,False,False,False,False,20.0,True,False,self
up,none,False,False,False,False,19.0,True,False,self
up,none,False,False,False,False,18.0,True,False,self
up,none,False,False,False,False,17.0,True,False,self
up,none,False,False,False,False,16.0,True,False,self
up,none,False,False,False,False,15.0,True,False,self
right,none,False,False,False,False,14.0,True,False,self
right,none,False,False,False,False,13.0,True,False,self
right,none,False,False,False,False,12.0,True,False,self
right,none,False,False,False,False,11.0,True,False,self
right,none,False,False,False,False,10.0,True,False,self
right,none,False,False,False,False,9.0,True,False,self
right,none,False,False,False,False,8.0,True,False,self
right,none,False,False,False,False,7.0,True,False,self
right,none,False,False,False,False,6.0,True,False,self
right,none,False,False,False,False,5.0,True,False,self
right,none,False,False,False,False,4.0,True,False,self
right,none,False,False,False,False,3.0,True,False,self
right,none,False,False,False,False,2.0,True,False,self
right,right,False,False,False,False,1.0,True,False,self
right,none,False,False,False,False,0.0,True,True,self
right,none,False,False,False,False,19.0,True,False,self
up,none,False,False,False,False,18.0,True,False,self
up,none,False,False,False,False,17.0,True,False,self
up,none,False,False,False,False,16.0,True,False,self
up,none,False,False,False,False,15.0,True,False,self
left,none,False,False,False,False,16.0,True,False,self
left,none,False,False,False,False,17.0,True,False,self
left,none,False,False,False,False,18.0,True,False,self
left,none,False,False,False,False,19.0,True,False,self
left,none,False,False,False,False,20.0,True,False,self
down,none,False,False,False,False,21.0,True,False,self
down,none,False,False,False,False,22.0,True,False,self
down,none,False,False,False,False,23.0,True,False,self
down,none,False,False,False,False,24.0,True,False,self
left,none,False,False,False,False,25.0,True,False,self
left,none,False,False,False,False,26.0,True,False,self
left,none,False,False,False,False,27.0,True,False,self
left,none,False,False,False,False,28.0,True,False,self
left,none,False,False,False,False,29.0,True,False,self
left,none,False,False,False,False,28.0,True,False,self
left,none,False,False,False,False,27.0,True,False,self
left,none,False,False,False,False,26.0,True,False,self
left,none,False,False,False,False,25.0,True,False,self
left,none,False,False,False,False,24.0,True,False,self
left,none,False,False,False,False,23.0,True,False,self
left,none,False,False,False,False,22.0,True,False,self
left,none,False,False,False,False,21.0,True,False,self
left,none,False,False,False,False,20.0,True,False,self
left,none,False,False,False,False,19.0,True,False,self
left,none,False,False,False,False,18.0,True,False,self
left,none,False,False,False,False,17.0,True,False,self
left,none,False,False,False,False,16.0,True,False,self
left,none,False,False,False,False,15.0,True,False,self
left,none,False,False,False,False,14.0,True,False,self
left,none,False,False,False,False,13.0,True,False,self
left,none,False,False,False,False,12.0,True,False,self
up,none,False,False,False,False,11.0,True,False,self
up,none,False,False,False,False,10.0,True,False,self
up,none,False,False,False,False,9.0,True,False,self
up,none,False,False,False,False,8.0,True,False,self
up,none,False,False,False,False,7.0,True,False,self
up,none,False,False,False,False,6.0,True,False,self
up,none,False,False,False,False,5.0,True,False,self
up,none,False,False,False,False,4.0,True,False,self
up,none,False,False,False,False,3.0,True,False,self
up,none,False,False,False,False,2.0,True,False,self
up,left,False,False,False,False,1.0,True,False,self
left,none,False,False,False,False,0.0,True,True,self
left,none,False,False,False,False,8.0,True,False,self
left,none,False,False,False,False,7.0,True,False,self
left,none,False,False,False,False,8.0,True,False,self
left,none,False,False,False,False,9.0,True,False,self
down,none,False,False,False,False,8.0,True,False,self
down,none,False,False,False,False,7.0,True,False,self
down,none,False,False,False,False,6.0,True,False,self
down,none,False,False,False,False,5.0,True,False,self
down,none,False,False,False,False,4.0,True,False,self
down,none,False,False,False,False,3.0,True,False,self
right,none,False,False,False,False,2.0,True,False,self
down,right,False,False,False,False,1.0,True,False,self
down,none,False,False,False,False,2.0,True,False,self
down,none,False,False,False,False,3.0,True,False,self
down,none,False,False,False,False,4.0,True,False,self
down,none,False,False,False,False,5.0,True,False,self
down,none,False,False,False,False,6.0,True,False,self
down,none,False,False,False,False,7.0,True,False,self
down,none,False,False,False,False,8.0,True,False,self
down,none,False,False,False,False,9.0,True,False,self
down,none,False,False,False,False,10.0,True,False,self
down,none,False,False,False,False,11.0,True,False,self
right,none,False,False,False,False,10.0,True,False,self
up,none,True,False,False,False,9.0,True,False,self
up,none,True,False,False,False,8.0,True,False,self
up,none,True,False,False,False,7.0,True,False,self
up,none,True,False,False,False,6.0,True,False,self
up,none,True,False,False,False,5.0,True,False,self
up,none,True,False,False,False,4.0,True,False,self
up,none,True,False,False,False,3.0,True,False,self
up,none,True,False,False,False,2.0,True,False,self
up,up,False,False,False,False,1.0,True,False,self
up,none,False,False,False,False,0.0,True,True,self
up,none,False,False,False,False,26.0,True,False,self
up,none,False,False,False,False,25.0,True,False,self
up,none,False,False,False,False,24.0,True,False,self
up,none,False,False,False,False,23.0,True,False,self
up,none,False,False,False,False,22.0,True,False,self
up,none,False,False,False,False,21.0,True,False,self
up,none,False,False,False,False,20.0,True,False,self
up,none,False,False,False,False,19.0,True,False,self
up,none,False,False,False,False,18.0,True,False,self
up,none,False,False,False,False,17.0,True,False,self
up,none,False,False,False,False,16.0,True,False,self
up,none,False,False,False,False,15.0,True,False,self
up,none,False,False,False,False,14.0,True,False,self
up,none,False,False,False,False,15.0,True,False,self
left,none,False,False,False,False,14.0,True,False,self
left,none,False,False,False,False,13.0,True,False,self
left,none,False,False,False,False,12.0,True,False,self
left,none,False,False,False,False,11.0,True,False,self
left,none,False,False,False,False,10.0,True,False,self
left,none,False,False,False,False,9.0,True,False,self
left,none,False,False,False,False,8.0,True,False,self
left,none,False,False,False,False,7.0,True,False,self
down,none,False,False,False,False,6.0,True,False,self
left,none,False,False,False,False,5.0,True,False,self
left,none,False,False,False,False,4.0,True,False,self
left,none,False,False,False,False,3.0,True,False,self
left,none,False,False,False,False,2.0,True,False,self
left,left,False,False,False,False,1.0,True,False,self
left,none,False,False,False,False,0.0,True,True,self
left,none,False,False,False,False,19.0,True,False,self
left,none,False,False,False,False,18.0,True,False,self
left,none,False,False,False,False,17.0,True,False,self
left,none,False,False,False,False,16.0,True,False,self
left,none,False,False,False,False,15.0,True,False,self
left,none,False,False,False,False,14.0,True,False,self
left,none,False,False,False,False,13.0,True,False,self
left,none,False,False,False,False,12.0,True,False,self
left,none,False,False,False,False,11.0,True,False,self
left,none,False,False,False,False,10.0,True,False,self
up,none,False,False,False,False,9.0,True,False,self
right,none,False,False,False,True,10.0,True,False,self
right,none,False,False,False,True,11.0,True,False,self
right,none,False,False,False,True,12.0,True,False,self
right,none,False,False,False,True,13.0,True,False,self
right,none,False,False,False,True,14.0,True,False,self
right,none,False,False,False,True,15.0,True,False,self
right,none,False,False,False,True,16.0,True,False,self
right,none,False,False,False,True,17.0,True,False,self
right,none,False,False,False,True,18.0,True,False,self
right,none,False,False,False,False,19.0,True,False,self
right,none,False,False,False,False,18.0,True,False,self
